species,ind,fresh_wt,area,dry_wt,height_m
QUGA,1,0.538,29.386,0.2837,0.31
QUGA,2,0.419,24.465,0.2042,0.245
QUGA,3,0.2301,14.019,0.1142,0.385
QUGA,4,0.4207,19.957,0.2111,0.99
QUGA,5,0.2306,12.713,0.1028,0.365
QUGA,6,0.3153,14.958,0.1561,0.16
QUGA,7,0.1953,8.886,0.0919,0.08
QUGA,8,0.3243,13.389,0.1664,0.125
QUGA,9,0.385,21.019,0.1904,0.195
QUGA,10,0.3845,15.78,0.1612,0.16
QUGA,11,0.816,35.539,0.4013,0.13
QUGA,12,0.1268,6.997,0.0583,0.145
QUGA,13,0.2814,13.192,0.1315,0.695
QUGA,14,0.2138,12.322,0.1011,1.44
QUGA,15,0.376,15.12,0.1786,0.33
QUGA,16,0.5097,19.476,0.2509,1.14
QUGA,17,0.0979,5.485,0.044,0.1
QUGA,18,0.14,6.641,0.0689,0.85
QUGA,19,0.1254,6.775,0.0621,1.11
QUGA,20,0.072,3.988,0.0323,1.01
TRRA,1,0.0354,1.486,0.012,0.305
TRRA,2,0.0226,0.868,0.0068,0.37
TRRA,3,0.0922,7.097,0.0258,0.365
TRRA,4,0.1384,6.199,0.0249,0.37
TRRA,5,0.042,1.234,0.0109,0.355
TRRA,6,0.0214,0.859,0.0067,0.195
TRRA,7,0.0446,1.828,0.0109,0.32
TRRA,8,0.0207,0.782,0.0059,0.245
TRRA,9,0.016,0.626,0.005,0.46
TRRA,10,0.028,1.026,0.0082,0.395
TRRA,11,0.0102,0.39,0.0031,0.165
TRRA,12,0.0495,2.135,0.0104,0.465
TRRA,13,0.1498,4.581,0.0408,0.095
TRRA,14,0.0194,0.755,0.0056,0.16
TRRA,15,0.0114,0.465,0.0033,0.25
TRRA,16,0.0378,1.727,0.0084,0.465
TRRA,17,0.0279,0.84,0.0072,0.324
TRRA,18,0.0573,1.597,0.0136,0.195
TRRA,19,0.0204,0.794,0.0058,0.51
TRRA,20,0.0602,2.3,0.0138,0.38
LIMA,1,0.4404,15.511,0.1213,0.62
LIMA,2,0.2897,10.332,0.0947,0.41
LIMA,3,0.3293,10.12,0.104,0.845
LIMA,4,0.4751,16.829,0.1253,0.665
LIMA,5,0.4817,15.651,0.1363,0.79
LIMA,6,0.3438,12.224,0.0977,0.475
LIMA,7,0.1662,6.098,0.051,0.58
LIMA,8,0.3231,9.682,0.108,0.75
LIMA,9,0.18,6.065,0.0486,0.33
LIMA,10,0.2965,13.353,0.0735,0.81
LIMA,11,0.4246,14.138,0.1169,0.69
LIMA,12,0.6535,18.868,0.1871,0.805
LIMA,13,0.2679,8.173,0.0674,0.855
LIMA,14,0.5263,17.463,0.1186,0.625
LIMA,15,0.2324,8.348,0.0646,1.06
LIMA,16,0.5197,16.372,0.132,1.05
LIMA,17,0.2343,8.174,0.0726,0.91
LIMA,18,0.1432,4.085,0.0425,1.01
LIMA,19,0.1975,6.341,0.0583,0.795
LIMA,20,0.4269,12.572,0.1132,0.805
